username,retweet_count,favorite_count,month,day,hour
SebasGalmarini,0,0,3,3,23
SebasGalmarini,0,0,4,3,0
SebasGalmarini,0,0,4,3,1
SebasGalmarini,0,0,4,3,2
SebasGalmarini,0,0,4,3,3
SebasGalmarini,0,0,4,3,4
SebasGalmarini,0,0,4,3,5
SebasGalmarini,0,0,4,3,6
SebasGalmarini,6,8,4,3,7
SebasGalmarini,38,42,4,3,8
SebasGalmarini,0,0,4,3,9
SebasGalmarini,32,37,4,3,10
SebasGalmarini,0,0,4,3,11
SebasGalmarini,0,0,4,3,12
SebasGalmarini,0,0,4,3,13
SebasGalmarini,0,0,4,3,14
SebasGalmarini,0,0,4,3,15
SebasGalmarini,0,0,4,3,16
SebasGalmarini,0,0,4,3,17
SebasGalmarini,109,140,4,3,18
SebasGalmarini,0,0,4,3,19
SebasGalmarini,15,20,4,3,20
SebasGalmarini,40,86,4,3,21
SebasGalmarini,0,0,4,3,22
SebasGalmarini,0,0,4,3,23
SebasGalmarini,0,0,5,3,0
SebasGalmarini,0,0,5,3,1
SebasGalmarini,0,0,5,3,2
SebasGalmarini,0,0,5,3,3
SebasGalmarini,0,0,5,3,4
SebasGalmarini,0,0,5,3,5
SebasGalmarini,0,0,5,3,6
SebasGalmarini,0,0,5,3,7
SebasGalmarini,102,121,5,3,8
SebasGalmarini,0,0,5,3,9
SebasGalmarini,177,178,5,3,10
SebasGalmarini,0,0,5,3,11
SebasGalmarini,5,10,5,3,12
SebasGalmarini,20,19,5,3,13
SebasGalmarini,32,46,5,3,14
SebasGalmarini,0,0,5,3,15
SebasGalmarini,17,12,5,3,16
SebasGalmarini,192,195,5,3,17
SebasGalmarini,126,101,5,3,18
SebasGalmarini,235,258,5,3,19
SebasGalmarini,95,164,5,3,20
SebasGalmarini,0,0,5,3,21
SebasGalmarini,0,0,5,3,22
SebasGalmarini,0,0,5,3,23
SebasGalmarini,0,0,6,3,0
SebasGalmarini,0,0,6,3,1
SebasGalmarini,0,0,6,3,2
SebasGalmarini,0,0,6,3,3
SebasGalmarini,0,0,6,3,4
SebasGalmarini,0,0,6,3,5
SebasGalmarini,0,0,6,3,6
SebasGalmarini,117,163,6,3,7
SebasGalmarini,0,0,6,3,8
SebasGalmarini,47,29,6,3,9
SebasGalmarini,243,171,6,3,10
SebasGalmarini,13,20,6,3,11
SebasGalmarini,0,0,6,3,12
SebasGalmarini,160,142,6,3,13
SebasGalmarini,0,0,6,3,14
SebasGalmarini,0,0,6,3,15
SebasGalmarini,0,0,6,3,16
SebasGalmarini,324,341,6,3,17
SebasGalmarini,0,0,6,3,18
SebasGalmarini,16,17,6,3,19
SebasGalmarini,0,0,6,3,20
SebasGalmarini,35,42,6,3,21
SebasGalmarini,0,0,6,3,22
SebasGalmarini,0,0,6,3,23
SebasGalmarini,0,0,7,3,0
SebasGalmarini,0,0,7,3,1
SebasGalmarini,0,0,7,3,2
SebasGalmarini,0,0,7,3,3
SebasGalmarini,0,0,7,3,4
SebasGalmarini,0,0,7,3,5
SebasGalmarini,0,0,7,3,6
SebasGalmarini,29,34,7,3,7
SebasGalmarini,0,0,7,3,8
SebasGalmarini,1,1,7,3,9
SebasGalmarini,78,107,7,3,10
SebasGalmarini,473,382,7,3,11
SebasGalmarini,60,30,7,3,12
SebasGalmarini,0,0,7,3,13
SebasGalmarini,2,4,7,3,14
SebasGalmarini,0,0,7,3,15
SebasGalmarini,0,0,7,3,16
SebasGalmarini,59,69,7,3,17
SebasGalmarini,174,200,7,3,18
SebasGalmarini,72,107,7,3,19
SebasGalmarini,9,18,7,3,20
SebasGalmarini,10,10,7,3,21
SebasGalmarini,0,0,7,3,22
SebasGalmarini,0,0,7,3,23
SebasGalmarini,0,0,8,3,0
SebasGalmarini,0,0,8,3,1
SebasGalmarini,0,0,8,3,2
SebasGalmarini,0,0,8,3,3
SebasGalmarini,0,0,8,3,4
SebasGalmarini,0,0,8,3,5
SebasGalmarini,0,0,8,3,6
SebasGalmarini,65,63,8,3,7
SebasGalmarini,31,33,8,3,8
SebasGalmarini,0,0,8,3,9
SebasGalmarini,123,140,8,3,10
SebasGalmarini,0,0,8,3,11
SebasGalmarini,13,24,8,3,12
SebasGalmarini,0,0,8,3,13
SebasGalmarini,3,5,8,3,14
SebasGalmarini,65,85,8,3,15
SebasGalmarini,61,71,8,3,16
SebasGalmarini,0,0,8,3,17
SebasGalmarini,34,44,8,3,18
SebasGalmarini,178,229,8,3,19
SebasGalmarini,0,0,8,3,20
SebasGalmarini,191,188,8,3,21
SebasGalmarini,35,25,8,3,22
SebasGalmarini,0,0,8,3,23
SebasGalmarini,0,0,9,3,0
SebasGalmarini,0,0,9,3,1
SebasGalmarini,0,0,9,3,2
SebasGalmarini,0,0,9,3,3
SebasGalmarini,0,0,9,3,4
SebasGalmarini,0,0,9,3,5
SebasGalmarini,27,16,9,3,6
SebasGalmarini,0,0,9,3,7
SebasGalmarini,0,0,9,3,8
SebasGalmarini,0,0,9,3,9
SebasGalmarini,49,76,9,3,10
SebasGalmarini,0,0,9,3,11
SebasGalmarini,0,0,9,3,12
SebasGalmarini,40,92,9,3,13
SebasGalmarini,0,0,9,3,14
SebasGalmarini,4,4,9,3,15
SebasGalmarini,7,10,9,3,16
SebasGalmarini,41,70,9,3,17
SebasGalmarini,67,103,9,3,18
